['Albania', 'Organic Carbon', -8],
['Monaco', 'Organic Carbon', -7],
['Laos', 'Organic Carbon', -10],
['Guadeloupe', 'Organic Carbon', -8],
['French Guiana', 'Organic Carbon', -8],
['Trinidad and Tobago', 'Organic Carbon', -10],
['Norway', 'Organic Carbon', -13],
['Turkey', 'Organic Carbon', -8],
['Iraq', 'Organic Carbon', -5],
['Croatia', 'Organic Carbon', -11],
['Guatemala', 'Organic Carbon', -10],
['Papua New Guinea', 'Organic Carbon', -9],
['Somalia', 'Organic Carbon', -10],
['Paraguay', 'Organic Carbon', -8],
['Suriname', 'Organic Carbon', -8],
['Liechtenstein', 'Organic Carbon', -12],
['Faroe Islands', 'Organic Carbon', -19],
['Kuwait', 'Organic Carbon', -6],
['Korea, Peoples Republic of', 'Organic Carbon', -10],
['Hong Kong', 'Organic Carbon', -10],
['Uganda', 'Organic Carbon', -8],
['Estonia', 'Organic Carbon', -11],
['Senegal', 'Organic Carbon', -11],
['Qatar', 'Organic Carbon', -7],
['Greenland', 'Organic Carbon', -9],
['Vanuatu', 'Organic Carbon', -9],
['Sudan', 'Organic Carbon', -10],
['Antigua and Barbuda', 'Organic Carbon', -7],
['Sweden', 'Organic Carbon', -14],
['Jan Mayen', 'Organic Carbon', #VALUE!],
['Mauritius', 'Organic Carbon', -8],
['Afghanistan', 'Organic Carbon', -6],
['Taiwan', 'Organic Carbon', -11],
['Kiribati', 'Organic Carbon', -6],
['Hungary', 'Organic Carbon', -12],
['Latvia', 'Organic Carbon', -11],
['France', 'Organic Carbon', -10],
['Chile', 'Organic Carbon', -9],
['Burkina Faso', 'Organic Carbon', -10],
['Congo', 'Organic Carbon', -10],
['Slovakia', 'Organic Carbon', -12],
['Mozambique', 'Organic Carbon', -6],
['Kazakhstan', 'Organic Carbon', -3],
['Byelarus', 'Organic Carbon', -11],
['Cameroon', 'Organic Carbon', -10],
['Northern Mariana Islands', 'Organic Carbon', -10],
['Swaziland', 'Organic Carbon', -6],
['Finland', 'Organic Carbon', -9],
['Denmark', 'Organic Carbon', -14],
['Korea, Republic of', 'Organic Carbon', -11],
['Azerbaijan', 'Organic Carbon', -7],
['Nigeria', 'Organic Carbon', -11],
['Turkmenistan', 'Organic Carbon', -4],
['Kyrgyzstan', 'Organic Carbon', -7],
['Gabon', 'Organic Carbon', -10],
['Argentina', 'Organic Carbon', -9],
['Madagascar', 'Organic Carbon', -7],
['Germany', 'Organic Carbon', -12],
['Uruguay', 'Organic Carbon', -8],
['Togo', 'Organic Carbon', -10],
['Solomon Islands', 'Organic Carbon', -8],
['Tunisia', 'Organic Carbon', -5],
['Cuba', 'Organic Carbon', -7],
['St. Vincent and the Grenadines', 'Organic Carbon', -9],
